Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   6.39 0.004943 120.55 -562.6
   6.40 0.004882 119.07 -309.4
   6.41 0.004833 117.87  -54.5
   6.42 0.004797 116.99  203.7
   6.44 0.004605 112.31  453.8
   6.45 0.004705 114.75  720.4
   6.46 0.004628 112.86  983.4
   6.47 0.004554 111.07  781.0
   6.48 0.004490 109.49  505.7
   6.49 0.004425 107.92  170.4
   6.50 0.004360 106.34 -113.8
   6.51 0.004297 104.79 -114.9
   6.53 0.004234 103.26 -116.3
   6.54 0.004173 101.77 -118.0
   6.55 0.004111 100.25 -119.1
   6.56 0.004049  98.75 -118.1
   6.57 0.003988  97.27 -128.8
   6.58 0.003928  95.80 -126.3
   6.59 0.003869  94.36 -124.6
   6.60 0.003809  92.90 -123.6
   6.61 0.003750  91.46 -122.5
   6.63 0.003692  90.04 -121.5
   6.64 0.003634  88.62 -120.5
   6.65 0.003577  87.23 -119.6
   6.66 0.003520  85.84 -118.7
   6.67 0.003463  84.45 -117.7
   6.68 0.003407  83.09 -116.8
   6.69 0.003352  81.74 -115.8
   6.71 0.003297  80.40 -114.9
   6.72 0.003242  79.06 -114.0
   6.73 0.003188  77.75 -112.9
   6.74 0.003134  76.42 -112.0
   6.75 0.003081  75.15 -111.1
   6.76 0.003028  73.85 -110.1
   6.77 0.002976  72.57 -109.2
   6.78 0.002923  71.29 -108.4
   6.80 0.002872  70.05 -107.4
   6.81 0.002821  68.79 -106.6
   6.82 0.002770  67.55 -105.8
   6.83 0.002719  66.31 -104.9
   6.84 0.002669  65.08 -104.2
   6.85 0.002619  63.86 -103.5
   6.86 0.002570  62.66 -102.7
   6.87 0.002521  61.47 -101.9
   6.89 0.002473  60.30 -101.1
   6.90 0.002425  59.13 -100.2
   6.91 0.002377  57.97  -99.4
   6.92 0.002330  56.81  -98.6
   6.93 0.002283  55.66  -97.8
   6.94 0.002237  54.54  -96.9
   6.95 0.002190  53.41  -96.0
   6.96 0.002144  52.29  -95.2
   6.98 0.002099  51.19  -94.5
   6.99 0.002054  50.09  -93.7
   7.00 0.002010  49.00  -93.0
   7.01 0.001965  47.92  -92.3
   7.02 0.001921  46.85  -91.6
   7.03 0.001878  45.79  -90.8
   7.04 0.001834  44.73  -90.0
   7.05 0.001792  43.69  -89.3
   7.07 0.001749  42.64  -88.6
   7.08 0.001707  41.63  -87.9
   7.09 0.001665  40.61  -87.1
   7.10 0.001624  39.60  -86.4
   7.11 0.001583  38.61  -85.7
   7.12 0.001542  37.61  -84.9
   7.13 0.001502  36.63  -84.1
   7.14 0.001462  35.66  -83.4
   7.16 0.001423  34.70  -82.7
   7.17 0.001384  33.74  -81.9
   7.18 0.001345  32.80  -81.1
   7.19 0.001306  31.86  -80.4
   7.20 0.001268  30.93  -79.7
   7.21 0.001231  30.01  -79.0
   7.22 0.001193  29.08  -78.3
   7.23 0.001155  28.17  -77.7
   7.25 0.001119  27.28  -77.0
   7.26 0.001082  26.39  -76.4
   7.27 0.001046  25.50  -75.7
   7.28 0.001010  24.62  -75.1
   7.29 0.000974  23.75  -74.5
   7.30 0.000938  22.88  -73.9
   7.31 0.000903  22.03  -73.3
   7.32 0.000868  21.17  -72.7
   7.34 0.000833  20.32  -72.2
   7.35 0.000799  19.48  -71.6
   7.36 0.000765  18.64  -71.1
   7.37 0.000731  17.82  -70.6
   7.38 0.000696  16.97  -70.1
   7.39 0.000663  16.17  -69.6
   7.40 0.000629  15.35  -69.1
   7.41 0.000596  14.54  -68.7
   7.43 0.000564  13.75  -68.1
   7.44 0.000532  12.96  -67.6
   7.45 0.000500  12.18  -67.1
   7.46 0.000468  11.41  -66.5
   7.47 0.000437  10.64  -65.9
   7.48 0.000405   9.88  -65.3
   7.49 0.000374   9.11  -64.8
   7.50 0.000343   8.37  -64.2
   7.52 0.000313   7.63  -63.6
   7.53 0.000282   6.89  -63.0
   7.54 0.000253   6.16  -62.5
   7.55 0.000223   5.44  -62.0
   7.56 0.000194   4.73  -61.4
   7.57 0.000165   4.01  -60.9
   7.58 0.000136   3.30  -60.4
   7.59 0.000107   2.61  -59.9
   7.61 0.000078   1.90  -59.3
   7.62 0.000050   1.22  -58.8
   7.63 0.000022   0.54  -58.4
   7.64 -.000005  -0.13  -57.9
   7.65 -.000033  -0.81  -57.4
   7.66 -.000061  -1.48  -56.9
   7.67 -.000088  -2.14  -56.5
   7.68 -.000114  -2.78  -56.0
   7.70 -.000141  -3.44  -55.5
   7.71 -.000167  -4.08  -55.0
   7.72 -.000194  -4.73  -54.6
   7.73 -.000219  -5.35  -54.1
