Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   6.69 -.002628 -64.07  -19.3
   6.71 -.002637 -64.28  -19.0
   6.72 -.002645 -64.49  -18.8
   6.73 -.002654 -64.71  -18.6
   6.74 -.002663 -64.92  -18.4
   6.75 -.002671 -65.13  -18.1
   6.76 -.002680 -65.34  -17.9
   6.77 -.002688 -65.53  -17.6
   6.78 -.002696 -65.74  -17.4
   6.80 -.002704 -65.93  -17.2
   6.81 -.002712 -66.13  -17.0
   6.82 -.002720 -66.32  -16.8
   6.83 -.002728 -66.52  -16.6
   6.84 -.002736 -66.70  -16.4
   6.85 -.002743 -66.88  -16.2
   6.86 -.002751 -67.06  -16.0
   6.87 -.002758 -67.25  -15.8
   6.88 -.002766 -67.43  -15.6
   6.90 -.002772 -67.59  -15.4
   6.91 -.002780 -67.78  -15.2
   6.92 -.002787 -67.95  -15.0
   6.93 -.002793 -68.10  -14.8
   6.94 -.002801 -68.29  -14.6
   6.95 -.002807 -68.45  -14.4
   6.96 -.002814 -68.60  -14.2
   6.97 -.002821 -68.77  -14.1
   6.99 -.002827 -68.93  -13.9
   7.00 -.002834 -69.10  -13.7
   7.01 -.002840 -69.25  -13.6
   7.02 -.002846 -69.40  -13.4
   7.03 -.002853 -69.55  -13.3
   7.04 -.002858 -69.69  -13.1
   7.05 -.002865 -69.85  -12.9
   7.06 -.002871 -69.99  -12.7
   7.08 -.002876 -70.13  -12.6
   7.09 -.002883 -70.28  -12.4
   7.10 -.002888 -70.42  -12.2
   7.11 -.002894 -70.55  -12.1
   7.12 -.002900 -70.70  -11.9
   7.13 -.002905 -70.83  -11.8
   7.14 -.002910 -70.96  -11.7
   7.15 -.002916 -71.10  -11.6
   7.16 -.002921 -71.21  -11.4
   7.18 -.002927 -71.36  -11.3
   7.19 -.002932 -71.48  -11.1
   7.20 -.002937 -71.60  -11.0
   7.21 -.002942 -71.73  -10.8
   7.22 -.002947 -71.86  -10.7
   7.23 -.002952 -71.97  -10.6
   7.24 -.002957 -72.10  -10.4
   7.25 -.002962 -72.22  -10.4
   7.27 -.002967 -72.34  -10.2
   7.28 -.002972 -72.45  -10.1
   7.29 -.002977 -72.57  -10.0
   7.30 -.002981 -72.68   -9.9
   7.31 -.002986 -72.79   -9.8
   7.32 -.002990 -72.90   -9.7
   7.33 -.002995 -73.01   -9.5
   7.35 -.003000 -73.13   -9.4
   7.36 -.003004 -73.23   -9.4
   7.37 -.003008 -73.33   -9.2
   7.38 -.003013 -73.45   -9.1
   7.39 -.003017 -73.55   -9.0
   7.40 -.003021 -73.64   -8.9
   7.41 -.003025 -73.75   -8.8
   7.42 -.003029 -73.85   -8.7
   7.43 -.003033 -73.95   -8.6
   7.45 -.003037 -74.05   -8.5
   7.46 -.003041 -74.14   -8.4
   7.47 -.003045 -74.24   -8.3
   7.48 -.003049 -74.34   -8.2
   7.49 -.003053 -74.42   -8.1
   7.50 -.003056 -74.51   -8.0
   7.51 -.003060 -74.61   -7.9
   7.52 -.003064 -74.71   -7.9
   7.54 -.003068 -74.79   -7.8
   7.55 -.003071 -74.88   -7.7
   7.56 -.003075 -74.97   -7.6
   7.57 -.003078 -75.05   -7.5
   7.58 -.003082 -75.13   -7.4
   7.59 -.003085 -75.22   -7.3
   7.60 -.003089 -75.31   -7.2
   7.61 -.003092 -75.38   -7.2
   7.63 -.003095 -75.46   -7.0
   7.64 -.003099 -75.55   -6.9
   7.65 -.003101 -75.61   -6.8
   7.66 -.003105 -75.69   -6.7
   7.67 -.003108 -75.77   -6.6
   7.68 -.003111 -75.85   -6.6
   7.69 -.003114 -75.93   -6.5
   7.70 -.003117 -75.98   -6.4
   7.72 -.003120 -76.07   -6.3
   7.73 -.003122 -76.12   -6.2
   7.74 -.003126 -76.21   -6.1
   7.75 -.003129 -76.28   -6.1
   7.76 -.003131 -76.34   -6.0
   7.77 -.003134 -76.41   -5.9
   7.78 -.003137 -76.49   -5.9
   7.79 -.003140 -76.56   -5.8
   7.81 -.003142 -76.61   -5.7
   7.82 -.003145 -76.69   -5.7
   7.83 -.003148 -76.75   -5.7
   7.84 -.003150 -76.81   -5.6
   7.85 -.003153 -76.88   -5.6
   7.86 -.003156 -76.94   -5.5
   7.87 -.003158 -76.99   -5.4
   7.88 -.003161 -77.06   -5.3
   7.90 -.003163 -77.12   -5.2
   7.91 -.003166 -77.18   -5.2
   7.92 -.003168 -77.24   -5.1
   7.93 -.003171 -77.30   -5.1
   7.94 -.003173 -77.37   -5.0
   7.95 -.003175 -77.41   -5.0
   7.96 -.003177 -77.46   -4.9
   7.97 -.003180 -77.53   -4.8
   7.99 -.003182 -77.57   -4.8
   8.00 -.003184 -77.63   -4.7
   8.01 -.003186 -77.69   -4.6
   8.02 -.003189 -77.74   -4.6
   8.03 -.003191 -77.79   -4.5
   8.04 -.003193 -77.84   -4.5
   8.05 -.003195 -77.89   -4.4
   8.06 -.003197 -77.94   -4.3
   8.07 -.003199 -77.99   -4.3
   8.09 -.003201 -78.03   -4.2
   8.10 -.003203 -78.08   -4.2
   8.11 -.003205 -78.14   -4.2
   8.12 -.003207 -78.18   -4.1
   8.13 -.003208 -78.22   -4.0
   8.14 -.003210 -78.27   -4.0
